language,adapted-concept-num,concept-number,composite-score,concepticonID,leipzig-jakarta-concept,concept-original-reference,IPA,cognates,page_num,comments,
hub,88,88,0.697,1917,to tie,amarrar,jigkatsa/jigkamu/,NA,,DELETE,
hub,88,88,0.697,1917,to tie,atar,ikaktasa/ikamu/ikat,NA,p137,DELETE,
jiv,88,88,0.697,1917,to tie,atar/amarrar,jinkiatin,NA,p78,KEEP,
jiv,88,88,0.697,1917,to tie,atar,ajirtin,NA,p78,DELETE,
jiv,88,88,0.697,1917,to tie,amarrar,kankaartin,NA,p53,DELETE,
acu,88,88,0.697,1917,to tie,atar/amarrar,"ingkiátin, jíniuktin ",NA,,KEEP,
agr,89,89,0.695,1409,to see,see,wainat,,,REASSESS,
hub,89,89,0.695,1409,to see,ver,iistasa/iiamu/iit,,p219,REASSESS,
hub,89,89,0.695,1409,to see,ver,wainkatsa/wainkamu/wainat,,p219,REASSESS,
jiv,89,89,0.695,1409,to see,ver,lis/listin,,p656,REASSESS,
acu,89,89,0.695,1409,to see,ver,"jíistin, wáinkatin. ",,,REASSESS,
agr,90,89,0.695,7147,sweet,sweet, yuminchak,NA,,KEEP,
hub,90,89,0.695,7147,sweet,dulce,yumin,SWEET1,p161,,
jiv,90,89,0.695,7147,sweet,dulce,yumin,SWEET1,p239,,
jiv,90,89,0.695,7147,sweet,dulce,yumintaku,NA,,DELETE,
acu,90,89,0.695,7147,sweet,dulce,yumín,SWEET1,,,
agr,91,91,0.694,1218,rope,"rope, cord",wa'sakɨa,NA,,KEEP,
hub,91,91,0.694,1218,rope,soga,naek/naekan,NA,p211,KEEP,
jiv,91,91,0.694,1218,rope,soga,yarank kaanpuram,NA,p599,KEEP,
jiv,91,91,0.694,1218,rope,soga,chapik,NA,p599,KEEP,
acu,91,91,0.694,1218,rope,,,,p497,REASSESS,
agr,92,91,0.694,1388,shade/shadow,"shade, shadow",bikintu,,,,
hub,92,91,0.694,1388,shade/shadow,sombra,ejet/ejetan,,p211,,
hub,92,91,0.694,1388,shade/shadow,sombra,mikintru/mikintrun,SHADOW1,p211,,
jiv,92,91,0.694,1388,shade/shadow,sombra,kirit,,p601,,
jiv,92,91,0.694,1388,shade/shadow,sombra,kashi tee,,p601,,
jiv,92,91,0.694,1388,shade/shadow,sombra,mikintiar,SHADOW1,p601,,
acu,92,91,0.694,1388,shade/shadow,sombra,"míkin, míkint. ",,,,
agr,93,91,0.694,937,bird,bird,pishak,NA,,KEEP,
hub,93,91,0.694,937,bird,ave,kuntin/kuntinan,NA,p138,DELETE,
hub,93,91,0.694,937,bird,ave,nanamtin,BIRD1,p138,,
hub,93,91,0.694,937,bird,ave,nanamtinam,NA,,DELETE,
jiv,93,91,0.694,937,bird,ave,nanamtin,BIRD1,p86,,
jiv,93,91,0.694,937,bird,ave,chinki,NA,p86,DELETE,
acu,93,91,0.694,937,bird,ave,nanámtin,BIRD1,,,
agr,94,91,0.694,1274,salt,salt,wɨɨ,SALT1,,,
hub,94,91,0.694,1274,salt,sal,wee,SALT1,p207,,
hub,94,91,0.694,1274,salt,sal,ween,NA,,DELETE,
jiv,94,91,0.694,1274,salt,sal,kachi,NA,p584,DELETE,
jiv,94,91,0.694,1274,salt,sal,sau,NA,p584,DELETE,
jiv,94,91,0.694,1274,salt,sal,wee,SALT1,p584,,
acu,94,91,0.694,1274,salt,salt,wee,SALT1,,,
agr,95,91,0.694,1246,small,"small, little",piipich,NA,,KEEP,
hub,95,91,0.694,1246,small,pequeño,shitapach,NA,p196,KEEP,
hub,95,91,0.694,1246,small,pequeño,yairach,NA,p196,KEEP,
jiv,95,91,0.694,1246,small,pequeño,uchich,NA,p520,KEEP,
jiv,95,91,0.694,1246,small,pequeño,ishitiupach,NA,p520,KEEP,
acu,95,91,0.694,1246,small,pequeño,"túupich, trúpich, tiúpich, ",NA,,KEEP,
agr,96,96,0.692,1243,wide,"wide, broad","túumpich, washik, yáirach. ",NA,,KEEP,
hub,96,96,0.692,1243,wide,ancho,wagkaram,WIDE1,p134,,
jiv,96,96,0.692,1243,wide,ancho,wánkaram,WIDE2,p56,,
acu,96,96,0.692,1243,wide,ancho,wangkáram,WIDE3,p357,,
agr,97,97,0.691,1430,star,star,yaya,NA,,REASSESS,
hub,97,97,0.691,1430,star,estrella,yaa,STAR1,p166,,
hub,97,97,0.691,1430,star,estrella,yaan,NA,,DELETE,
jiv,97,97,0.691,1430,star,estrella,tsútsamiankú yáa,NA,p283,KEEP,
acu,97,97,0.691,1430,star,estrella,yaa,STAR1,,,
agr,98,97,0.691,1460,in,"inside, in",i'nitak,IN1,,,
hub,98,97,0.691,1460,in,NA,NA,NA,,KEEP,
jiv,98,97,0.691,1460,in,en,initia,IN1,p253,,
acu,98,97,0.691,1460,in,en,"-num, -nam",NA,,KEEP,
agr,99,99,0.69,1884,hard,hard,ka'chu-ham,HARD1,,,
hub,99,99,0.69,1884,hard,duro,katsuram,HARD1,p161,,
jiv,99,99,0.69,1884,hard,duro,katsuram,HARD1,p240,,
jiv,99,99,0.69,1884,hard,duro,kakaram,NA,,DELETE,
jiv,99,99,0.69,1884,hard,duro,tee/tej,NA,p240,DELETE,
acu,99,99,0.69,1884,hard,duro,"pisu, káte. ",NA,,KEEP,
agr,100,100,0.688,1033,to crush/grind,"crush, grind",chanuut,NA,,DELETE,
agr,100,100,0.688,1033,to crush/grind,"crush, grind",dɨkɨɨt,GRIND1,,,
hub,100,100,0.688,1033,to crush/grind,moler,neket,GRIND1,p187,,
hub,100,100,0.688,1033,to crush/grind,moler,nekegtasa/nekeamu/,NA,,DELETE,
hub,100,100,0.688,1033,to crush/grind,moler,naurtasa/naurmamu/naut,NA,p187,DELETE,
jiv,100,100,0.688,1033,to crush/grind,moler,nekenk,GRIND1,p459,,
acu,100,100,0.688,1033,to crush/grind,moler,"nakéngtin, nekéngtin. ",NA,p454,,
