language,adapted-concept-num,concept-number,composite-score,leipzig-jakarta-concept,concept-original-reference,IPA,COGNATES,page_num,
acu,23,23,0.76,neck,cuello,kuntúj,NECK1,,
agr,24,24,0.76,far,far (adv),a'tushat,,,
hub,24,24,0.76,far,lejos,ika,,p179,
hub,24,24,0.76,far,lejos,imi,,p179,
hub,24,24,0.76,far,lejos,jeashat,,p179,
hub,24,24,0.76,far,lejos,yaja,FAR1,p179,
jiv,24,24,0.76,far,lejos,yajá,FAR1,p409,
jiv,24,24,0.76,far,lejos,jeáchat/timiai/aránt/tii yaunchunia,,p409,
acu,24,24,0.76,far,lejos,arák,,,
acu,24,24,0.76,far,lejos,téjchau,,,
agr,25,25,0.759,to do/make,"do, make",naut,,,
agr,25,25,0.759,to do/make,"do, make",takat,,,
hub,25,25,0.759,to do/make,hacer,najanatsa/najanamu/najanat,MAKE1,p172,
jiv,25,25,0.759,to do/make,hacer,naján-a-tin,MAKE1,p342,
acu,25,25,0.759,to do/make,hacer,náatin,MAKE1,,
acu,25,25,0.759,to do/make,hacer,najánatin,MAKE1,,
agr,26,26,0.758,house,house,hɨga,HOUSE1,,
hub,26,26,0.758,house,casa,jea/jean,HOUSE1,p142,
jiv,26,26,0.758,house,casa,jea,HOUSE1,p126,
acu,26,26,0.758,house,casa,jéa,HOUSE1,,
agr,27,27,0.756,stone/rock,"stone, rock",kaya,ROCK1,,
hub,27,27,0.756,stone/rock,piedra,kaya/kayan,ROCK1,p197,
jiv,27,27,0.756,stone/rock,piedra,kaya,ROCK1,p525,
acu,27,27,0.756,stone/rock,piedra,káya,ROCK1,,
agr,28,28,0.755,bitter,bitter,yapau,BITTER1,,
hub,28,28,0.755,bitter,amargo,yapau,BITTER1,p133,
jiv,28,28,0.755,bitter,amargo,yapá,BITTER1,p52,
acu,28,28,0.755,bitter,amargo,yapáu,BITTER1,,
agr,29,28,0.755,to say,say,ɨ'chɨhut,,,
hub,29,28,0.755,to say,decir,titasa/tamu/tuta,,p156,
jiv,29,28,0.755,to say,decir,títin,SAY1,p193,
acu,29,28,0.755,to say,decir,títin,SAY1,,
agr,30,28,0.755,tooth,tooth,dai,TOOTH1,,
hub,30,28,0.755,tooth,diente,nai/nain,TOOTH1,p159,
jiv,30,28,0.755,tooth,diente,nai,TOOTH1,p226,
acu,30,28,0.755,tooth,diente,nái,TOOTH1,,
agr,31,31,0.754,hair,hair,intash,HAIR1,,
hub,31,31,0.754,hair,pelo de hombre,wiich/wiichin,,p195,
hub,31,31,0.754,hair,pelo de mujer,intash/intashin,HAIR1,p195,
jiv,31,31,0.754,hair,pelo,intiash,HAIR1,p518,
jiv,31,31,0.754,hair,pelo,ure,,p518,
acu,31,31,0.754,hair,pelo,intásh,HAIR1,,
agr,32,32,0.753,big,"large, big",muun,BIG1,,
hub,32,32,0.753,big,grande,uun,BIG1,p170,
hub,32,32,0.753,big,grande,apu,,p170,
jiv,32,32,0.753,big,grande,uúnt,BIG1,p333,
jiv,32,32,0.753,big,grande,timian,,p333,
acu,32,32,0.753,big,grande,juun,BIG1,,
acu,32,32,0.753,big,grande,juunt,BIG1,,
agr,33,32,0.753,one,one,makichik,,,
hub,33,32,0.753,one,uno,chikichik,ONE1,p218,
jiv,33,32,0.753,one,uno,chikichik,ONE1,p645,
jiv,33,32,0.753,one,uno,nakakchamu,,p645,
acu,33,32,0.753,one,"un, una, uno",chikíchik,ONE1,,
acu,33,32,0.753,one,"un, una, uno",kíchik,,,
agr,34,34,0.749,who?,who?,ya,WHO1,,
hub,34,34,0.749,who?,quién,yaki,WHO1,p202,
hub,34,34,0.749,who?,quién,ya,WHO1,p202,
jiv,34,34,0.749,who?,quién,yaa,WHO1,p553,
acu,34,34,0.749,who?,quién,ya,WHO1,,
acu,34,34,0.749,who?,quién,yáki,WHO1,,
agr,35,34,0.749,3rd-person singular pronoun (he/she/it/him/her),he/she/it,atum,,,
hub,35,34,0.749,3rd-person singular pronoun (he/she/it/him/her),él/ella,nii/niina,HER1,p161,
jiv,35,34,0.749,3rd-person singular pronoun (he/she/it/him/her),ella,nií,HER1,p248,
acu,35,34,0.749,3rd-person singular pronoun (he/she/it/him/her),"él,ella",áu,,,
agr,36,36,0.748,to hit/beat,"strike (hit, beat)",awatut,,,
hub,36,36,0.748,to hit/beat,golpear,awatasa/awatiamu/awatiat,,p170,
hub,36,36,0.748,to hit/beat,golpear,ajiatsa/ajiamu/ajiat,,p170,
jiv,36,36,0.748,to hit/beat,golpear,ajiarttin' tukumratin,,p331,
jiv,36,36,0.748,to hit/beat,golpear,jatektin,,p331,
acu,36,36,0.748,to hit/beat,"whip, hit, beat",awátratin,,,
agr,37,37,0.747,leg/foot,"leg, calf of leg",kuhap,,,
agr,37,37,0.747,leg/foot,foot,dawɨ,FOOT1,,
hub,37,37,0.747,leg/foot,pie,nawe/nawen,FOOT1,p197,
hub,37,37,0.747,leg/foot,pierna,maku/makun,LEG1,p197,
jiv,37,37,0.747,leg/foot,pierna,maku,LEG1,p525,
jiv,37,37,0.747,leg/foot,mano,ewej/uwej,,p434,
acu,37,37,0.747,leg/foot,pie,náwe,FOOT1,,
acu,37,37,0.747,leg/foot,pierna,máku,LEG1,,
agr,38,38,0.745,horn,horn,kachu,HORN1,,
hub,38,38,0.745,horn,cuerno,antiri/antirin,HORN2,p153,
hub,38,38,0.745,horn,cuerno,kachu/kachun,HORN1,p153,
jiv,38,38,0.745,horn,cuerno,káchu,HORN1,p176,
acu,38,38,0.745,horn,cuerno,antíri,HORN2,,
agr,39,38,0.745,this,NA,NA,NA,,
hub,39,38,0.745,this,este,ju/juna,THIS1,p166,
hub,39,38,0.745,this,este,juka,,p166,
jiv,39,38,0.745,this,este,jú,THIS1,p279,
acu,39,38,0.745,this,este,ju,THIS1,,
agr,40,38,0.745,fish,fish,namak,FISH1,,
hub,40,38,0.745,fish,pescado,namak/namakan,FISH1,p196,
jiv,40,38,0.745,fish,pescado,namak,FISH1,p524,
acu,40,38,0.745,fish,pescado,namák,FISH1,,
agr,41,41,0.744,yesterday,yesterday,ya'u,YESTERDAY1,,
hub,41,41,0.744,yesterday,ayer,yau,YESTERDAY1,p138,
jiv,41,41,0.744,yesterday,ayer,yaú,YESTERDAY1,p88,
acu,41,41,0.744,yesterday,ayer,yáau,YESTERDAY1,,
agr,42,42,0.741,to drink,drink,umu-t,DRINK1,,
hub,42,42,0.741,to drink,beber,umartsa/umau/umut,DRINK1,p140,
jiv,42,42,0.741,to drink,beber,umartin,DRINK1,p98,
acu,42,42,0.741,to drink,beber,múrtin/amúrtin/umúrtin,DRINK1,,
agr,43,42,0.741,black,black,bu'kusɨa,NA,,
agr,43,42,0.741,black,black,shu'win,BLACK3,,
hub,43,42,0.741,black,negro,mukusa,BLACK1,p189,
hub,43,42,0.741,black,negro,tunturu,BLACK2,p189,
hub,43,42,0.741,black,negro,jakiku,NA,p189,
jiv,43,42,0.741,black,negro,mukusa,BLACK1,p476,
acu,43,42,0.741,black,negro,tuntúru,BLACK2,,
acu,43,42,0.741,black,negro,shuwín,BLACK3,,
acu,43,42,0.741,black,negro,"shuwín, nashúm, jimpiách,
kimpí, jákach, jákich, tuntú",NA,,
agr,44,42,0.741,navel,navel,untuch,NAVEL1,,
hub,44,42,0.741,navel,NA,NA,NA,NA,
jiv,44,42,0.741,navel,ombligo,untuch,NAVEL1,p494,
acu,44,42,0.741,navel,ombligo,úntuch,NAVEL1,,
agr,45,45,0.738,to stand,stand,wah-amu,NA,,
hub,45,45,0.738,to stand,aguantar,katsuntratsa/katsunteamu/katsuntat,STAND1,p131,
jiv,45,45,0.738,to stand,aguartat,katsuntratin,STAND1,p39,
acu,45,45,0.738,to stand,aguantar,katsúntratin,STAND1,,
acu,45,45,0.738,to stand,aguantar,"atsántratin, tsántratin",NA,,
agr,46,46,0.736,to bite,bite,ɨsat,BITE1,,
hub,46,46,0.736,to bite,morder,esaittsa/esaimu/esait,BITE1,p187,
jiv,46,46,0.736,to bite,morder,esaitin esar,BITE1,p463,
acu,46,46,0.736,to bite,morder,áasmamratin,NA,,
agr,47,46,0.736,back,back,tuntup,BACK1,,
agr,47,46,0.736,back,back,maya-tai,NA,,
hub,47,46,0.736,back,espalda,tuntup/tuntupen,BACK1,p166,
hub,47,46,0.736,back,espalda,sunturi/sunturin,NA,p166,
jiv,47,46,0.736,back,espalda,tuntúp,BACK1,p275,
acu,47,46,0.736,back,espalda,tuntúp,BACK1,,
agr,48,48,0.736,wind,wind,dasɨ,WIND1,,
hub,48,48,0.736,wind,viento,nase/nasen,WIND1,p220,
jiv,48,48,0.736,wind,viento,nase,WIND1,p660,
jiv,48,48,0.736,wind,viento,mayai,NA,p660,
acu,48,48,0.736,wind,viento,nasé,WIND1,,
agr,49,49,0.734,smoke,smoke (noun),chaag buku'itimu,NA,,
hub,49,49,0.734,smoke,humo,mukuintu/mukuintun,SMOKE1,p175,
jiv,49,49,0.734,smoke,humo,mukuint',SMOKE1,p355,
acu,49,49,0.734,smoke,humo,mukúnit,SMOKE1,,
agr,50,50,0.732,what?,what?,wa'hi,WHAT1,,
hub,50,50,0.732,what?,qué,wari,WHAT1,p202,
jiv,50,50,0.732,what?,que,warim,WHAT1,p552,
acu,50,50,0.732,what?,qué,warí,WHAT1,,
agr,51,51,0.73,child (kin term),child,uchi,CHILD1,,
hub,51,51,0.73,child (kin term),hijo,uchi/uchin,CHILD1,p173,
jiv,51,51,0.73,child (kin term),hijo,uchirí nawantri,CHILD1,p349,
acu,51,51,0.73,child (kin term),hijo,uchi-,CHILD1,,
agr,52,52,0.728,egg,egg,nu'hin,,,
hub,52,52,0.728,egg,huevo,nujin/nujintan,EGG,p174,
jiv,52,52,0.728,egg,huevo,nujint/téeri,EGG,p354,
acu,52,52,0.728,egg,huevo,nujín/nujínt,EGG,,
agr,53,53,0.727,to give,give,suwamu,,,
hub,53,53,0.727,to give,dar,susattsa/suamu/suta,GIVE1,p156,
jiv,53,53,0.727,to give,dar,súsatin,GIVE1,p190,
jiv,53,53,0.727,to give,dar,amástin,,p190,
acu,53,53,0.727,to give,dar,súsatin,GIVE1,,
agr,54,53,0.727,new,new,ya'ma-ham,,,
hub,54,53,0.727,new,nuevo,yamaram,NEW1,p190,
jiv,54,53,0.727,new,nuevo/a,yamaram,NEW1,p482,
jiv,54,53,0.727,new,nuevo/a,yama najanamu,,p482,
acu,54,53,0.727,new,nuevo,yamáram,NEW1,,
agr,55,53,0.727,to burn (intr.),burn (vb intrans),kɨɨt,,,
hub,55,53,0.727,to burn (intr.),quemar,apeatsa/apeamu/apet,,p202,
hub,55,53,0.727,to burn (intr.),quemar,wegkatsa/wegkamu/wegkat,,p202,
hub,55,53,0.727,to burn (intr.),quemar,asatsa/asamu/asat,,p202,
jiv,55,53,0.727,to burn (intr.),quemar,aesatin,,p552,
jiv,55,53,0.727,to burn (intr.),quemar,ekemaktin,,p552,
acu,55,53,0.727,to burn (intr.),quemar,áaskamu,,transitive,
agr,56,56,0.726,not,NA,NA,,,
hub,56,56,0.726,not,no,atsa,NOT1,p189,
jiv,56,56,0.726,not,no,atsa tama,NOT1,p479,
acu,56,56,0.726,not,no,atsá / tsá,NOT1,,
agr,57,57,0.726,good,good,'pɨgkɨg,,,
hub,57,57,0.726,good,bueno,pegker,GOOD1,p142,
hub,57,57,0.726,good,bueno,shir,,p142,
jiv,57,57,0.726,good,bueno/na,penker/papú,GOOD1,p108,
acu,57,57,0.726,good,bueno,péngker,GOOD1,,
agr,58,58,0.725,to know,know,dɨkat,,,
hub,58,58,0.725,to know,saber,yachamartsa/yachamu/yachamat,,p207,
hub,58,58,0.725,to know,saber/conocer,nekatsa/nekamu/nekat,KNOW1,p150/207,
hub,58,58,0.725,to know,saber/conocer,wainmaktasa/wainmamu/wainmat,,p150/207,
jiv,58,58,0.725,to know,conocer,nekátin,KNOW1,p156,
jiv,58,58,0.725,to know,saber,neka/nekatai,KNOW1,p582,
acu,58,58,0.725,to know,saber/conocer,nekáatin,KNOW1,,
agr,59,59,0.724,knee,knee,ti'kish-mat,,,
hub,59,59,0.724,knee,rodilla,tikish/tikishin,KNEE1,p206,
jiv,59,59,0.724,knee,rodilla,tikish,KNEE1,p576,
acu,59,59,0.724,knee,rodilla,tikísh,KNEE1,,
agr,60,59,0.724,sand,sand,ka'amatak,,,
hub,60,59,0.724,sand,arena,yaikim/yaikmin,SAND1,p136,
jiv,60,59,0.724,sand,arena,NA,,NA,
acu,60,59,0.724,sand,arena,"nayákim, yayákim, yáikim, náikim ",SAND1,,
agr,61,61,0.723,to laugh,laugh,du'shi-amu,,,
hub,61,61,0.723,to laugh,reír,wishirtasa/wishiamu/wishit,LAUGH1,p204,
jiv,61,61,0.723,to laugh,reír,wishir,LAUGH1,p566,
acu,61,61,0.723,to laugh,reír,wishírtin,LAUGH1,,
agr,62,61,0.723,to hear,hear,antut,,,
hub,62,61,0.723,to hear,oír/escuchar,antuktasa/antamu/antut,HEAR1,p190,
jiv,62,61,0.723,to hear,escushar,antúktin,HEAR1,p274,
jiv,62,61,0.723,to hear,oír,antuk,HEAR1,p492,
acu,62,61,0.723,to hear,oír (escuchar),antúktin,HEAR1,,
agr,63,63,0.722,soil,"earch=ground, soil",nugka,,,
hub,63,63,0.722,soil,tierra/mundo/suelo,nugka/nugkan,SOIL1,p215,
jiv,63,63,0.722,soil,tierra/suelo,nunka,SOIL1,p623,
acu,63,63,0.722,soil,"tierra, suelo, mundo",núngka,SOIL1,,
agr,64,64,0.721,leaf,leaf,duka,,,
hub,64,64,0.721,leaf,hoja,nuka/nukan,LEAF1,p173,
jiv,64,64,0.721,leaf,hoja,nuka,LEAF1,p351,
acu,64,64,0.721,leaf,hoja,núka,LEAF1,,
agr,65,64,0.721,red,red,kapantu,,,
hub,65,64,0.721,red,rojo,kapantin,RED1,p206,
jiv,65,64,0.721,red,rojo,kapaku,,p577,
acu,65,64,0.721,red,rojo,kapántin,RED1,,
agr,66,66,0.72,liver,liver,akap,,,
hub,66,66,0.72,liver,hígado,akap/akapen,LIVER1,p173,
jiv,66,66,0.72,liver,higado,akap,LIVER1,p348,
acu,66,66,0.72,liver,hígado,akáp,LIVER1,,
agr,67,67,0.718,to hide,"hide, conceal",uu-mat,,,
hub,67,67,0.718,to hide,esconder,umkatsa/umeamu/umat,,p165,
jiv,67,67,0.718,to hide,esconder,uuktin,,p273,
acu,67,67,0.718,to hide,esconder o ocultar,nítrumaktin,,,
agr,68,67,0.718,skin/hide,"skin, hide",duwap-ɨ pushihi,,,
hub,68,67,0.718,skin/hide,"piel, cuero",nuap/nuapen,SKIN1,p197,
jiv,68,67,0.718,skin/hide,piel,sejik,,p525,
jiv,68,67,0.718,skin/hide,piel,nuap,SKIN1,p525,
acu,68,67,0.718,skin/hide,"1.piel, cutis. 2.cuero, pellejo,",nuwáp,SKIN1,,
agr,69,67,0.718,to suck,suck,bukunat,,,
hub,69,67,0.718,to suck,chupar,mukunatsa/mukuneamu/mukunat,,p155,
jiv,69,67,0.718,to suck,chupar,mukunatin/pitiurtin,,p186,
acu,69,67,0.718,to suck,chupar,apáatin,,,
agr,70,70,0.717,to carry,carry (bear),'ɨmat,,,
hub,70,70,0.717,to carry,cargar,takustasa/takamu/takut,,p145,
jiv,70,70,0.717,to carry,cargar,enkektin/turunktin,,p124,
acu,70,70,0.717,to carry,,,,"p380, check with others",
agr,71,71,0.716,ant,ant,wisut,,,
hub,71,71,0.716,ant,hormiga,NA,,p174,
jiv,71,71,0.716,ant,hormiga,weeka ánin/chunkiamár,,p353,
acu,71,71,0.716,ant,hormiga,"masaran, masárant ",,,
agr,72,71,0.716,heavy,heavy,ki'hin,,,
hub,72,71,0.716,heavy,pesado,kijin,HEAVY1,p196,
jiv,72,71,0.716,heavy,pesado,kijin,HEAVY1,p523,
acu,72,71,0.716,heavy,pesado,méram,,,
agr,73,71,0.716,to take,take,umut,,,
hub,73,71,0.716,to take,tomar,umut,TAKE1,p215,
hub,73,71,0.716,to take,tomar,umartasa/umamu,,p215,
jiv,73,71,0.716,to take,tomar,achik,,p626,
jiv,73,71,0.716,to take,tomar,umut,TAKE1,p626,
acu,73,71,0.716,to take,tomar,"amúrtin, umúrtin, múrtin. ",,,
agr,74,74,0.715,old,old,muun-tuch,,,
hub,74,74,0.715,old,viejo (anciano),ashan/ashantan,,p220,
hub,74,74,0.715,old,viejo (anciano),uuntach/uuntachin,OLD1,p220,
jiv,74,74,0.715,old,viejo,untach,OLD1,p660,
jiv,74,74,0.715,old,viejo,yaunchunia,,p660,
acu,74,74,0.715,old,viejo (anciano),weámrau,,,
agr,75,75,0.714,to eat,eat,yuwamu,,,
hub,75,75,0.714,to eat,comer,yuatsa/yuamut/yuta,,p149,
jiv,75,75,0.714,to eat,comer,yurumatin/nucher,,p145,
acu,75,75,0.714,to eat,comer,yúwatin,,,
agr,76,76,0.712,thigh,thigh,baku,,,
hub,76,76,0.712,thigh,muslo,maku/makun,THIGH1,p188,
jiv,76,76,0.712,thigh,muslo,maku,THIGH1,p470,
acu,76,76,0.712,thigh,muslo,máku,,,
agr,77,76,0.712,thick,thick (in dimension),kam'puham,,,
hub,77,76,0.712,thick,grueso,kampuram,THICK1,p171,
jiv,77,76,0.712,thick,grueso,kámpuram/núparam,THICK1,p336,
acu,77,76,0.712,thick,"grueso (sogas, plátanos, yucas)",ápu,,,
acu,77,76,0.712,thick,"grueso (papel, tela)","nupáram, tuup",,,
agr,78,78,0.707,long,long,ɨ'saham,,,
hub,78,78,0.707,long,largo,asaram,LONG1,p178,
jiv,78,78,0.707,long,largo,esaram,LONG1,p406,
jiv,78,78,0.707,long,largo,nuntúaru,LONG1,p406,
jiv,78,78,0.707,long,largo,nuntúuntut,LONG1,p406,
acu,78,78,0.707,long,largo,"apiáng, sáram, esáram. ",,,
agr,79,79,0.706,to blow,blow,umpuut,,,
hub,79,79,0.706,to blow,soplar,umpuartasa/umpuamu/umput,BLOW1,p212,
jiv,79,79,0.706,to blow,soplar,umpuar,BLOW1,p602,
acu,79,79,0.706,to blow,,,,p498,
agr,80,80,0.705,wood,wood,numi,,,
hub,80,80,0.705,wood,madera,numi/numin,,p182,
jiv,80,80,0.705,wood,madera,numi katsurmari,,p426,
acu,80,80,0.705,wood,tabla de madera,táu,,,
acu,80,80,0.705,wood,madera no aserrada,trúngku,,,
agr,81,81,0.704,to run,run,tupikaut,,,
hub,81,81,0.704,to run,correr,tsekegtasa/tsekeamu/tseket,,p151,
jiv,81,81,0.704,to run,correr,tsékentin,,p167,
acu,81,81,0.704,to run,correr,ampúktin,,,
agr,82,81,0.704,to fall,fall,iyaut,,,
hub,82,81,0.704,to fall,caer,iyartasa/iyamu/iyat,,p143,
jiv,82,81,0.704,to fall,caer,ajuartin/ajunktin/iniartin,,p114,
acu,82,81,0.704,to fall,,,,p377,
agr,83,83,0.703,eye,eye,hii,,,
hub,83,83,0.703,eye,ojo,ji/jin,EYE1,p190,
jiv,83,83,0.703,eye,ojo,jii,,p492,
jiv,83,83,0.703,eye,ojo,entsa kayanmaya jiniu,,p492,
acu,83,83,0.703,eye,ojo,jii,,,
agr,84,84,0.699,ash,ashes,yuku,,,
hub,84,84,0.699,ash,ceniza,pushurin/pushurnun,,p146,
hub,84,84,0.699,ash,ceniza,yugkunim/yugkunmin,ASH1,p146,
jiv,84,84,0.699,ash,ceniza,yunkunim,ASH1,p131,
acu,84,84,0.699,ash,ceniza,yukúu,,,
agr,85,84,0.699,tail,tail,uhu'kɨ,,,
hub,85,84,0.699,tail,cola,ujuke/ujuken,TAIL1,p148,
jiv,85,84,0.699,tail,cola,ujuké,TAIL1,p143,
jiv,85,84,0.699,tail,cola,yamín umútai,,p143,
acu,85,84,0.699,tail,cola,"ujuké, juké.",,,
agr,86,84,0.699,dog,dog,ya'wa,,,
hub,86,84,0.699,dog,perro,yawa/yawan,,p196,
jiv,86,84,0.699,dog,perro,yawa aishmank,,p522,
acu,86,84,0.699,dog,perro,"yawáa, tangkú yawáa. ",,,
agr,87,87,0.698,to cry/weep,"cry, weep",buutut,,,
agr,87,87,0.698,to cry/weep,"cry, weep",buut-bau,,,
hub,87,87,0.698,to cry/weep,llorar,uutasa/uutmau/uutat,,p182,
jiv,87,87,0.698,to cry/weep,llorar,uttin,,p422,
acu,87,87,0.698,to cry/weep,llorar,júutin,,,
agr,88,88,0.697,to tie,"tie, bind",higkat,,,
hub,88,88,0.697,to tie,amarrar,jigkatsa/jigkamu/jigkat,,p133,
hub,88,88,0.697,to tie,atar,ikaktasa/ikamu/ikat,,p137,
jiv,88,88,0.697,to tie,atar/amarrar,jinkiatin,,p78,
jiv,88,88,0.697,to tie,atar,ajirtin,,p78,
jiv,88,88,0.697,to tie,amarrar,kankaartin,,p53,
