language,adapted-concept-num,concept-number,composite-score,concepticonID,leipzig-jakarta-concept,concept-original-reference,IPA,cognates,comments
acu,85,84,0.699,1220,tail,cola,ujuké,TAIL1,
agr,86,84,0.699,2009,dog,dog,ya'wa,DOG1,
hub,86,84,0.699,2009,dog,perro,yawa,DOG1,
jiv,86,84,0.699,2009,dog,perro,yawa aishmank,NA,
acu,86,84,0.699,2009,dog,perro,yawáa,DOG1,
agr,87,87,0.698,1839,to cry/weep,"cry, weep",buutut,CRY1,
hub,87,87,0.698,1839,to cry/weep,llorar,uutat,CRY1,
jiv,87,87,0.698,1839,to cry/weep,llorar,uttin,CRY1,
acu,87,87,0.698,1839,to cry/weep,llorar,júutin,CRY1,
agr,88,88,0.697,1917,to tie,"tie, bind",higkat,TIE1,
hub,88,88,0.697,1917,to tie,amarrar,jigkat,TIE1,
jiv,88,88,0.697,1917,to tie,atar/amarrar,jinkiatin,NA,
acu,88,88,0.697,1917,to tie,atar/amarrar,"ingkiátin, jíniuktin ",NA,
agr,89,89,0.695,1409,to see,see,wainat,SEE1,
hub,89,89,0.695,1409,to see,ver,wainat,SEE1,
jiv,89,89,0.695,1409,to see,ver,lis/listin,NA,
acu,89,89,0.695,1409,to see,ver,"jíistin, wáinkatin. ",NA,
agr,90,89,0.695,7147,sweet,sweet, yuminchak,NA,
hub,90,89,0.695,7147,sweet,dulce,yumin,SWEET1,
jiv,90,89,0.695,7147,sweet,dulce,yumin,SWEET1,
acu,90,89,0.695,7147,sweet,dulce,yumín,SWEET1,
agr,91,91,0.694,1218,rope,"rope, cord",wa'sakɨa,NA,
hub,91,91,0.694,1218,rope,soga,naek/naekan,NA,
jiv,91,91,0.694,1218,rope,soga,yarank kaanpuram,NA,
jiv,91,91,0.694,1218,rope,soga,chapik,NA,
acu,91,91,0.694,1218,rope,NA,NA,NA,
agr,92,91,0.694,1388,shade/shadow,"shade, shadow",bikintu,SHADOW1,
hub,92,91,0.694,1388,shade/shadow,sombra,mikintru,SHADOW1,
jiv,92,91,0.694,1388,shade/shadow,sombra,mikintiar,SHADOW1,
acu,92,91,0.694,1388,shade/shadow,sombra,míkint. ,SHADOW1,
agr,93,91,0.694,937,bird,bird,pishak,NA,
hub,93,91,0.694,937,bird,ave,nanamtin,BIRD1,
jiv,93,91,0.694,937,bird,ave,nanamtin,BIRD1,
acu,93,91,0.694,937,bird,ave,nanámtin,BIRD1,
agr,94,91,0.694,1274,salt,salt,wɨɨ,SALT1,
hub,94,91,0.694,1274,salt,sal,wee,SALT1,
jiv,94,91,0.694,1274,salt,sal,wee,SALT1,
acu,94,91,0.694,1274,salt,salt,wee,SALT1,
agr,95,91,0.694,1246,small,"small, little",piipich,NA,
hub,95,91,0.694,1246,small,pequeño,shitapach,NA,
hub,95,91,0.694,1246,small,pequeño,yairach,NA,
jiv,95,91,0.694,1246,small,pequeño,uchich,NA,
jiv,95,91,0.694,1246,small,pequeño,ishitiupach,NA,
acu,95,91,0.694,1246,small,pequeño,"túupich, trúpich, tiúpich, ",NA,
agr,96,96,0.692,1243,wide,"wide, broad","túumpich, washik, yáirach. ",NA,
hub,96,96,0.692,1243,wide,ancho,wagkaram,WIDE1,
jiv,96,96,0.692,1243,wide,ancho,wánkaram,WIDE2,
acu,96,96,0.692,1243,wide,ancho,wangkáram,WIDE3,
agr,97,97,0.691,1430,star,star,yaya,NA,
hub,97,97,0.691,1430,star,estrella,yaa,STAR1,
jiv,97,97,0.691,1430,star,estrella,tsútsamiankú yáa,NA,
acu,97,97,0.691,1430,star,estrella,yaa,STAR1,
agr,98,97,0.691,1460,in,"inside, in",i'nitak,IN1,
hub,98,97,0.691,1460,in,NA,NA,NA,
jiv,98,97,0.691,1460,in,en,initia,IN1,
acu,98,97,0.691,1460,in,en,"-num, -nam",NA,
agr,99,99,0.69,1884,hard,hard,ka'chu-ham,HARD1,
hub,99,99,0.69,1884,hard,duro,katsuram,HARD1,
jiv,99,99,0.69,1884,hard,duro,katsuram,HARD1,
acu,99,99,0.69,1884,hard,duro,"pisu, káte. ",NA,
agr,100,100,0.688,1033,to crush/grind,"crush, grind",dɨkɨɨt,GRIND1,
hub,100,100,0.688,1033,to crush/grind,moler,neket,GRIND1,
jiv,100,100,0.688,1033,to crush/grind,moler,nekenk,GRIND1,
acu,100,100,0.688,1033,to crush/grind,moler,"nakéngtin, nekéngtin. ",NA,
